,Price,District,State,Bedrooms,Tenure,Furnished Type,Size,Facilities,Bathrooms,Car Slots,House Type,Price per sqft,Price per Bedroom,Room Density,District_code,State_code,Tenure_code,Furnished Type_code,House Type_code
29,238000,desa petaling,kuala lumpur,3.0,leasehold,partly furnished,830.0,"['Parking', 'Playground', '24-Hour Security']",2.0,1.0,apartment,286.75,79333.33333333333,0.0036144578313253013,75,3,1,1,8
30,340000,klang,selangor,3.0,freehold,unfurnished,900.0,"['Parking', 'Playground', '24-Hour Security', 'Nursery', 'Cafe']",2.0,1.0,apartment,377.78,113333.33333333333,0.0033333333333333335,123,13,0,2,8
31,368000,puchong,selangor,3.0,freehold,partly furnished,1074.0,"['Kitchen Cabinet', 'Parking', 'Playground', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security']",2.0,1.0,apartment,342.64,122666.66666666667,0.002793296089385475,197,13,0,1,8
32,508000,selayang,selangor,3.0,leasehold,unfurnished,855.0,"['Bbq', 'Parking', 'Jogging Track', 'Playground', 'Business Centre', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Sauna', 'Wading Pool', 'Bus Stop']",2.0,1.0,apartment,594.15,169333.33333333334,0.0035087719298245615,218,13,1,2,8
33,345000,subang jaya,selangor,4.0,freehold,unfurnished,983.0,"['Parking', 'Playground', '24-Hour Security']",2.0,1.0,apartment,350.97,86250.0,0.004069175991861648,249,13,0,2,8
34,190000,batu berendam,melaka,3.0,freehold,unfurnished,893.0,"['Bbq', 'Parking', 'Retail Stores', 'Swimming Pool', '24-Hour Security']",3.0,2.0,apartment,212.77,63333.333333333336,0.0033594624860022394,31,4,0,2,8
35,310000,kepong,kuala lumpur,3.0,leasehold,partly furnished,1010.0,"['Bbq', 'Parking', 'Playground', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Nursery']",2.0,2.0,apartment,306.93,103333.33333333333,0.0029702970297029703,116,3,1,1,8
36,400000,petaling jaya,selangor,4.0,leasehold,unfurnished,1689.0,"['Kitchen Cabinet', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Nursery', 'Cafe', 'Badminton Court', 'Basketball Court']",3.0,2.0,apartment,236.83,100000.0,0.002368265245707519,189,13,1,2,8
37,290000,cheras,selangor,3.0,freehold,unfurnished,1055.0,"['Playground', 'Retail Stores', '24-Hour Security', 'Cafe']",2.0,2.0,apartment,274.88,96666.66666666667,0.002843601895734597,67,13,0,2,8
38,280000,bukit jalil,kuala lumpur,3.0,freehold,partly furnished,807.0,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Parking', 'Jogging Track', 'Playground', 'Retail Stores', '24-Hour Security', 'Clubhouse', 'Cafe']",2.0,1.0,apartment,346.96,93333.33333333333,0.0037174721189591076,51,3,0,1,8
39,115000,seri kembangan,selangor,3.0,leasehold,unfurnished,683.0,[],2.0,2.0,apartment,168.37,38333.333333333336,0.004392386530014641,232,13,1,2,8
40,345000,jelutong,penang,3.0,freehold,fully furnished,700.0,"['Parking', '24-Hour Security']",2.0,1.0,apartment,492.86,115000.0,0.004285714285714286,97,7,0,0,8
41,300000,puchong,selangor,3.0,freehold,partly furnished,915.0,"['Kitchen Cabinet', 'Bbq', 'Parking', 'Playground', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Nursery', 'Badminton Court']",2.0,1.0,apartment,327.87,100000.0,0.003278688524590164,197,13,0,1,8
42,275000,semenyih,selangor,3.0,freehold,fully furnished,1000.0,[],2.0,2.0,apartment,275.0,91666.66666666667,0.003,220,13,0,0,8
43,280000,port dickson,negeri sembilan,3.0,freehold,partly furnished,850.0,"['Balcony', 'Air Conditioner', 'Kitchen Cabinet', 'Bbq', 'Parking', 'Playground', 'Squash Court', 'Tennis Courts', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Basketball Court']",2.0,2.0,apartment,329.41,93333.33333333333,0.0035294117647058825,192,5,0,1,8
44,320000,shah alam,selangor,2.0,leasehold,partly furnished,875.0,"['Parking', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security', 'Jacuzzi']",2.0,2.0,apartment,365.71,160000.0,0.002285714285714286,237,13,1,1,8
45,280000,bukit jalil,kuala lumpur,2.0,freehold,partly furnished,730.0,"['Air Conditioner', 'Balcony', 'Kitchen Cabinet', 'Garage', 'Garden']",2.0,1.0,apartment,383.56,140000.0,0.0027397260273972603,51,3,0,1,8
46,355000,butterworth,penang,3.0,freehold,fully furnished,890.0,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Parking', 'Playground', '24-Hour Security']",2.0,1.0,apartment,398.88,118333.33333333333,0.0033707865168539327,63,7,0,0,8
47,170000,sunway,selangor,3.0,leasehold,unfurnished,852.0,"['Parking', 'Playground', '24-Hour Security']",2.0,1.0,apartment,199.53,56666.666666666664,0.0035211267605633804,263,13,1,2,8
48,450000,wangsa maju,kuala lumpur,4.0,leasehold,unfurnished,1938.0,"['Kitchen Cabinet', 'Balcony', 'Air Conditioner', 'Bbq', 'Parking', 'Playground', 'Tennis Courts', 'Gym', 'Swimming Pool', '24-Hour Security', 'Nursery', 'Sauna']",2.0,1.0,apartment,232.2,112500.0,0.0020639834881320948,296,3,1,2,8
49,580000,cheras,kuala lumpur,4.0,freehold,unfurnished,1478.0,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Parking', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security']",2.0,2.0,apartment,392.42,145000.0,0.0027063599458728013,67,3,0,2,8
50,325000,sunway,selangor,3.0,freehold,partly furnished,915.0,['24-Hour Security'],2.0,1.0,apartment,355.19,108333.33333333333,0.003278688524590164,263,13,0,1,8
51,343000,bandar sungai long,selangor,3.0,freehold,partly furnished,905.0,"['Garden', 'Air Conditioner', 'Kitchen Cabinet', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Business Centre', 'Gym', 'Retail Stores', '24-Hour Security', 'Clubhouse', 'Jacuzzi', 'Nursery']",2.0,2.0,apartment,379.01,114333.33333333333,0.0033149171270718232,22,13,0,1,8
52,398000,kepong,kuala lumpur,3.0,leasehold,unfurnished,1320.0,"['Bbq', 'Parking', 'Playground', 'Business Centre', 'Gym', 'Retail Stores', 'Salon', 'Swimming Pool', '24-Hour Security', 'Nursery', 'Cafe']",2.0,1.0,apartment,301.52,132666.66666666666,0.0022727272727272726,116,3,1,2,8
53,335000,puchong,selangor,3.0,freehold,partly furnished,1280.0,"['Kitchen Cabinet', 'Balcony', 'Garage', 'Air Conditioner']",2.0,1.0,apartment,261.72,111666.66666666667,0.00234375,197,13,0,1,8
54,150000,tambun,perak,3.0,leasehold,unfurnished,732.0,"['Air Conditioner', 'Parking']",2.0,2.0,apartment,204.92,50000.0,0.004098360655737705,268,8,1,2,8
55,230000,seremban,negeri sembilan,3.0,leasehold,fully furnished,1400.0,"['Parking', 'Playground', 'Gym', 'Swimming Pool']",3.0,1.0,apartment,164.29,76666.66666666667,0.002142857142857143,227,5,1,0,8
56,250000,sungai buloh,selangor,3.0,leasehold,partly furnished,778.0,"['Kitchen Cabinet', 'Air Conditioner']",2.0,1.0,apartment,321.34,83333.33333333333,0.0038560411311053984,252,13,1,1,8
57,438000,tebrau,johor,3.0,freehold,fully furnished,1033.0,"['Kitchen Cabinet', 'Air Conditioner']",2.0,1.0,apartment,424.01,146000.0,0.002904162633107454,280,0,0,0,8
58,600000,tebrau,johor,2.0,freehold,fully furnished,953.0,"['Bbq', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security', 'Basketball Court']",2.0,1.0,apartment,629.59,300000.0,0.002098635886673662,280,0,0,0,8
59,500000,johor bahru,johor,3.0,freehold,fully furnished,1033.0,"['Bbq', 'Parking', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security', 'Nursery', 'Badminton Court']",3.0,2.0,apartment,484.03,166666.66666666666,0.002904162633107454,103,0,0,0,8
60,230000,setapak,kuala lumpur,2.0,leasehold,partly furnished,650.0,"['Parking', 'Playground', '24-Hour Security']",1.0,1.0,apartment,353.85,115000.0,0.003076923076923077,234,3,1,1,8
61,418000,butterworth,penang,3.0,freehold,fully furnished,1044.0,"['Balcony', 'Kitchen Cabinet', 'Air Conditioner', 'Playground', '24-Hour Security']",2.0,1.0,apartment,400.38,139333.33333333334,0.0028735632183908046,63,7,0,0,8
62,340000,cheras,kuala lumpur,3.0,freehold,unfurnished,1229.0,['24-Hour Security'],2.0,2.0,apartment,276.65,113333.33333333333,0.0024410089503661514,67,3,0,2,8
63,380000,puchong,selangor,3.0,leasehold,fully furnished,1045.0,"['Balcony', 'Kitchen Cabinet', 'Air Conditioner', 'Jogging Track', 'Gym']",3.0,2.0,apartment,363.64,126666.66666666667,0.0028708133971291866,197,13,1,0,8
65,235000,tampoi,johor,3.0,freehold,unfurnished,1024.0,"['Balcony', 'Bbq', 'Playground', 'Retail Stores', '24-Hour Security', 'Nursery', 'Basketball Court']",2.0,1.0,apartment,229.49,78333.33333333333,0.0029296875,269,0,0,2,8
66,335000,bukit baru,melaka,4.0,freehold,unfurnished,1275.0,"['Kitchen Cabinet', 'Balcony', 'Garden', 'Parking', 'Jogging Track', 'Retail Stores', 'Swimming Pool', '24-Hour Security']",2.0,1.0,apartment,262.75,83750.0,0.003137254901960784,50,4,0,2,8
67,225500,bandar sungai long,selangor,3.0,freehold,unfurnished,1050.0,"['Balcony', 'Garden', 'Playground', 'Parking', 'Jogging Track', 'Business Centre', 'Retail Stores']",2.0,2.0,apartment,214.76,75166.66666666667,0.002857142857142857,22,13,0,2,8
68,490000,perling,johor,3.0,freehold,fully furnished,926.0,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Garden', 'Garage', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Squash Court', 'Tennis Courts', 'Gym', '24-Hour Security', 'Wading Pool', 'Cafe']",2.0,1.0,apartment,529.16,163333.33333333334,0.0032397408207343412,187,0,0,0,8
69,370000,wangsa maju,kuala lumpur,4.0,freehold,partly furnished,1012.0,"['Bbq', 'Playground', 'Retail Stores', '24-Hour Security', 'Nursery']",2.0,1.0,apartment,365.61,92500.0,0.003952569169960474,296,3,0,1,8
70,450000,gelang patah,johor,2.0,freehold,partly furnished,517.0,"['Kitchen Cabinet', 'Balcony', 'Jogging Track', 'Playground', 'Business Centre', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Clubhouse', 'Sauna', 'Cafe', 'Bus Stop']",1.0,2.0,apartment,870.41,225000.0,0.0038684719535783366,80,0,0,1,8
71,790000,johor bahru,johor,4.0,freehold,partly furnished,1500.0,"['Parking', 'Gym', 'Swimming Pool', '24-Hour Security']",3.0,1.0,apartment,526.67,197500.0,0.0026666666666666666,103,0,0,1,8
72,270000,kajang,selangor,3.0,freehold,partly furnished,1055.0,"['Parking', 'Jogging Track', 'Playground', '24-Hour Security']",2.0,2.0,apartment,255.92,90000.0,0.002843601895734597,105,13,0,1,8
73,285000,subang jaya,selangor,3.0,freehold,unfurnished,785.0,"['24-Hour Security', 'Tennis Courts', 'Parking']",2.0,1.0,apartment,363.06,95000.0,0.003821656050955414,249,13,0,2,8
74,430000,subang jaya,selangor,3.0,freehold,partly furnished,1008.0,"['Kitchen Cabinet', 'Parking', 'Playground', '24-Hour Security']",2.0,1.0,apartment,426.59,143333.33333333334,0.002976190476190476,249,13,0,1,8
75,288000,puchong,selangor,3.0,freehold,partly furnished,900.0,"['Bbq', 'Playground', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Nursery', 'Badminton Court']",2.0,1.0,apartment,320.0,96000.0,0.0033333333333333335,197,13,0,1,8
76,385000,bukit jalil,kuala lumpur,2.0,freehold,partly furnished,1000.0,"['Kitchen Cabinet', 'Balcony', 'Air Conditioner', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Retail Stores', '24-Hour Security', 'Cafe']",2.0,1.0,apartment,385.0,192500.0,0.002,51,3,0,1,8
77,530000,kota damansara,selangor,3.0,leasehold,unfurnished,1150.0,"['Jogging Track', 'Playground', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Clubhouse', 'Cafe']",2.0,1.0,apartment,460.87,176666.66666666666,0.0026086956521739132,127,13,1,2,8
78,232000,ampang,selangor,3.0,leasehold,unfurnished,850.0,"['Kitchen Cabinet', 'Balcony', 'Air Conditioner', '24-Hour Security']",2.0,2.0,apartment,272.94,77333.33333333333,0.0035294117647058825,3,13,1,2,8
79,300000,puchong,selangor,3.0,freehold,unfurnished,915.0,"['Parking', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security']",2.0,1.0,apartment,327.87,100000.0,0.003278688524590164,197,13,0,2,8
80,450000,klang,selangor,4.0,freehold,unfurnished,2300.0,"['Balcony', 'Parking', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security', 'Wading Pool']",4.0,2.0,apartment,195.65,112500.0,0.0017391304347826088,123,13,0,2,8
81,229000,kepong,selangor,3.0,leasehold,partly furnished,1012.0,"['Balcony', 'Bath Tub', '24-Hour Security', 'Parking', 'Gym']",2.0,1.0,apartment,226.28,76333.33333333333,0.0029644268774703555,116,13,1,1,8
82,293000,kota damansara,selangor,3.0,leasehold,unfurnished,851.0,"['Parking', '24-Hour Security']",2.0,1.0,apartment,344.3,97666.66666666667,0.0035252643948296123,127,13,1,2,8
83,450000,skudai,johor,3.0,leasehold,partly furnished,1155.0,"['Kitchen Cabinet', 'Balcony', 'Garage', 'Air Conditioner', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Tennis Courts', 'Gym', 'Swimming Pool', '24-Hour Security', 'Sauna']",2.0,2.0,apartment,389.61,150000.0,0.0025974025974025974,244,0,1,1,8
84,290000,klang,selangor,3.0,freehold,unfurnished,1150.0,"['Kitchen Cabinet', 'Air Conditioner', 'Parking', 'Playground', 'Swimming Pool', '24-Hour Security']",2.0,1.0,apartment,252.17,96666.66666666667,0.0026086956521739132,123,13,0,2,8
86,330000,jelutong,penang,3.0,freehold,fully furnished,700.0,"['Kitchen Cabinet', 'Air Conditioner', 'Parking', '24-Hour Security', 'Nursery']",2.0,2.0,apartment,471.43,110000.0,0.004285714285714286,97,7,0,0,8
87,270000,teluk kumbar,penang,3.0,freehold,partly furnished,700.0,"['Kitchen Cabinet', 'Playground', '24-Hour Security', 'Nursery']",2.0,1.0,apartment,385.71,90000.0,0.004285714285714286,284,7,0,1,8
88,338000,bukit jambul,penang,3.0,freehold,partly furnished,700.0,['Nursery'],2.0,1.0,apartment,482.86,112666.66666666667,0.004285714285714286,52,7,0,1,8
89,550000,bayan lepas,penang,3.0,freehold,unfurnished,1100.0,"['Kitchen Cabinet', 'Bbq', 'Jogging Track', 'Playground', 'Tennis Courts', 'Retail Stores', '24-Hour Security', 'Nursery', 'Sauna', 'Badminton Court']",2.0,1.0,apartment,500.0,183333.33333333334,0.0027272727272727275,39,7,0,2,8
90,378000,puchong,selangor,3.0,freehold,partly furnished,850.0,"['Kitchen Cabinet', 'Balcony', 'Air Conditioner', 'Parking', 'Playground', 'Swimming Pool', '24-Hour Security']",2.0,1.0,apartment,444.71,126000.0,0.0035294117647058825,197,13,0,1,8
91,390000,segambut,kuala lumpur,3.0,freehold,partly furnished,1186.0,"['Kitchen Cabinet', 'Balcony', 'Bbq', 'Parking', 'Jogging Track', 'Business Centre', 'Gym', 'Retail Stores', 'Salon', 'Swimming Pool', '24-Hour Security', 'Jacuzzi', 'Sauna', 'Wading Pool', 'Cafe']",2.0,1.0,apartment,328.84,130000.0,0.002529510961214165,215,3,0,1,8
92,80000,damansara damai,selangor,3.0,leasehold,partly furnished,650.0,[],2.0,2.0,apartment,123.08,26666.666666666668,0.004615384615384616,70,13,1,1,8
93,260000,kl city centre,kuala lumpur,3.0,freehold,unfurnished,680.0,"['Air Conditioner', 'Parking', '24-Hour Security']",2.0,2.0,apartment,382.35,86666.66666666667,0.004411764705882353,120,3,0,2,8
94,340000,puchong,selangor,3.0,freehold,partly furnished,900.0,"['Kitchen Cabinet', 'Balcony', 'Bbq', 'Parking', 'Jogging Track', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Nursery', 'Cafe']",2.0,2.0,apartment,377.78,113333.33333333333,0.0033333333333333335,197,13,0,1,8
95,351000,tampoi,johor,3.0,freehold,partly furnished,1045.0,"['Bbq', 'Jogging Track', 'Playground', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Clubhouse', 'Nursery', 'Sauna', 'Wading Pool', 'Cafe', 'Badminton Court']",2.0,1.0,apartment,335.89,117000.0,0.0028708133971291866,269,0,0,1,8
96,399000,subang jaya,selangor,3.0,freehold,partly furnished,990.0,"['Parking', 'Playground', 'Swimming Pool', '24-Hour Security']",2.0,1.0,apartment,403.03,133000.0,0.0030303030303030303,249,13,0,1,8
97,399000,subang jaya,selangor,3.0,freehold,partly furnished,934.0,"['Parking', 'Playground', 'Retail Stores', '24-Hour Security']",2.0,1.0,apartment,427.19,133000.0,0.0032119914346895075,249,13,0,1,8
98,610000,kuching,sarawak,3.0,leasehold,fully furnished,1307.0,"['Balcony', 'Garage', 'Kitchen Cabinet', 'Air Conditioner', 'Bbq', 'Parking', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security', 'Clubhouse', 'Sauna', 'Wading Pool', 'Basketball Court']",3.0,2.0,apartment,466.72,203333.33333333334,0.0022953328232593728,147,12,1,0,8
99,240000,seri kembangan,selangor,3.0,freehold,unfurnished,871.0,"['Kitchen Cabinet', '24-Hour Security', 'Playground', 'Parking']",2.0,1.0,apartment,275.55,80000.0,0.003444316877152698,232,13,0,2,8
100,370000,puchong,selangor,3.0,freehold,partly furnished,900.0,"['Bbq', 'Jogging Track', 'Playground', 'Tennis Courts', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Nursery', 'Wading Pool', 'Cafe']",2.0,1.0,apartment,411.11,123333.33333333333,0.0033333333333333335,197,13,0,1,8
101,290000,bandar sri damansara,selangor,3.0,freehold,unfurnished,850.0,['Parking'],2.0,1.0,apartment,341.18,96666.66666666667,0.0035294117647058825,20,13,0,2,8
102,530000,shah alam,selangor,3.0,leasehold,fully furnished,1079.0,"['Kitchen Cabinet', 'Balcony', 'Air Conditioner', 'Parking', 'Playground', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Cafe']",4.0,2.0,apartment,491.2,176666.66666666666,0.0027803521779425394,237,13,1,0,8
103,325000,jalan kuching,kuala lumpur,3.0,freehold,partly furnished,1255.0,"['Kitchen Cabinet', 'Parking', 'Retail Stores', 'Swimming Pool', '24-Hour Security']",2.0,1.0,apartment,258.96,108333.33333333333,0.002390438247011952,95,3,0,1,8
104,470000,subang jaya,selangor,2.0,freehold,partly furnished,915.0,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Parking', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security']",2.0,1.0,apartment,513.66,235000.0,0.002185792349726776,249,13,0,1,8
105,335000,seri kembangan,selangor,3.0,freehold,partly furnished,922.0,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security', 'Clubhouse', 'Jacuzzi', 'Sauna', 'Wading Pool', 'Badminton Court', 'Basketball Court']",2.0,1.0,apartment,363.34,111666.66666666667,0.0032537960954446853,232,13,0,1,8
106,345000,subang jaya,selangor,3.0,leasehold,partly furnished,980.0,"['Kitchen Cabinet', 'Air Conditioner', 'Bbq', 'Parking', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security']",2.0,1.0,apartment,352.04,115000.0,0.003061224489795918,249,13,1,1,8
107,398000,subang jaya,selangor,3.0,freehold,unfurnished,990.0,"['Kitchen Cabinet', 'Air Conditioner', 'Parking', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security', 'Clubhouse', 'Jacuzzi', 'Wading Pool', 'Badminton Court']",2.0,1.0,apartment,402.02,132666.66666666666,0.0030303030303030303,249,13,0,2,8
108,280000,semenyih,selangor,3.0,freehold,partly furnished,950.0,"['Kitchen Cabinet', 'Balcony', 'Air Conditioner', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Business Centre', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Wading Pool', 'Cafe', 'Badminton Court']",2.0,2.0,apartment,294.74,93333.33333333333,0.003157894736842105,220,13,0,1,8
